category,type,capacity_parameter,K1,K2,K3,Amin,Amax,n_exponent,unit,bare_module_method,B1,B2,C1,C2,C3,Pmin_barg,Pmax_barg,confidence
pump,centrifugal,"Shaft/brake power, kW (DWSIM: Pump 'Power Required')",3.3892,0.0536,0.1538,1,300,0.67,kW,standard,1.89,1.35,-0.3935,0.3957,-0.00226,10,100,high (cross-checked Turton/CAPCOST table value)
pump,reciprocating,"Shaft/brake power, kW (DWSIM: Pump 'Power Required')",3.8696,0.3161,0.122,0.1,200,0.6,kW,standard,1.89,1.35,-0.245382,0.259016,-0.01363,10,100,high (cross-checked Turton/CAPCOST table value)
pump,positive_displacement_rotary,"Shaft/brake power, kW (DWSIM: Pump 'Power Required')",3.4771,0.135,0.1438,1,100,0.6,kW,standard,1.89,1.35,-0.245382,0.259016,-0.01363,10,100,high (cross-checked Turton/CAPCOST table value)
compressor,centrifugal,"Shaft/brake power, kW (DWSIM: Compressor 'Power Required')",2.2897,1.3604,-0.1027,450,3000,0.67,kW,material_lookup_pressure_independent,,,,,,,,high (cross-checked Turton/CAPCOST table value)
compressor,axial,"Shaft/brake power, kW (DWSIM: Compressor 'Power Required')",2.2897,1.3604,-0.1027,450,3000,0.67,kW,material_lookup_pressure_independent,,,,,,,,high (cross-checked Turton/CAPCOST table value)
compressor,reciprocating,"Shaft/brake power, kW (DWSIM: Compressor 'Power Required')",2.2897,1.3604,-0.1027,450,3000,0.84,kW,material_lookup_pressure_independent,,,,,,,,high (cross-checked Turton/CAPCOST table value)
compressor,rotary,"Shaft/brake power, kW (DWSIM: Compressor 'Power Required')",5.0355,-1.8002,0.8253,18,950,0.6,kW,material_lookup_pressure_independent,,,,,,,,high (cross-checked Turton/CAPCOST table value)
turbine_expander,axial_gas_turbine_expander,"Shaft power output, kW (DWSIM: Expander 'Power Generated/Required')",2.7051,1.4398,-0.1776,100,4000,0.62,kW,material_lookup_pressure_independent,,,,,,,,"medium — K1/K2/K3 corroborated against two independent secondary sources quoting Turton; the bare-module-factor-by-material figures are a literature-typical estimate scaled from the compressor pattern, not independently re-verified against the primary table. Amin/Amax/n are reasonable estimates, not independently confirmed — verify before using outside the 100-4000 kW range."
heat_exchanger,fixed_tube_sheet,"Heat transfer area, m^2 (A = Q / (U * LMTD); see README for how to get A from a DWSIM Heater/Cooler that only reports duty Q).",4.3247,-0.303,0.1634,10,1000,0.62,m2,standard,1.63,1.66,0.03881,-0.11272,0.08183,5,140,high (cross-checked Turton/CAPCOST table value)
heat_exchanger,u_tube,"Heat transfer area, m^2 (A = Q / (U * LMTD); see README for how to get A from a DWSIM Heater/Cooler that only reports duty Q).",4.1884,-0.2503,0.1974,10,1000,0.53,m2,standard,1.63,1.66,0.03881,-0.11272,0.08183,5,140,high (cross-checked Turton/CAPCOST table value)
heat_exchanger,kettle_reboiler,"Heat transfer area, m^2 (A = Q / (U * LMTD); see README for how to get A from a DWSIM Heater/Cooler that only reports duty Q).",4.4646,-0.5277,0.3955,10,1000,0.59,m2,standard,1.63,1.66,0.03881,-0.11272,0.08183,5,140,high (cross-checked Turton/CAPCOST table value)
heat_exchanger,double_pipe,"Heat transfer area, m^2 (A = Q / (U * LMTD); see README for how to get A from a DWSIM Heater/Cooler that only reports duty Q).",3.3444,0.2745,-0.0472,1,10,0.59,m2,standard,1.74,1.55,0.6072,-0.912,0.3327,40,100,high (cross-checked Turton/CAPCOST table value)
heat_exchanger,multiple_pipe,"Heat transfer area, m^2 (A = Q / (U * LMTD); see README for how to get A from a DWSIM Heater/Cooler that only reports duty Q).",2.7652,0.7282,0.0783,10,100,0.6,m2,standard,1.74,1.55,0.6072,-0.912,0.3327,40,100,high (cross-checked Turton/CAPCOST table value)
vessel,horizontal,"Internal volume, m^3",3.5565,0.3776,0.0905,0.1,628,0.5,m3,standard_with_vessel_pressure_factor,1.49,1.52,,,,,,high (cross-checked Turton/CAPCOST table value)
vessel,vertical,"Internal volume, m^3",3.4974,0.4485,0.1074,0.3,520,0.6,m3,standard_with_vessel_pressure_factor,2.25,1.82,,,,,,high (cross-checked Turton/CAPCOST table value)
tray,sieve,"Tray active/cross-sectional area, m^2 (cost is PER TRAY — multiply by tray count and the quantity factor Fq, see formulas.8_tray_quantity_factor)",2.9949,0.4465,0.3961,0.7,12.3,0.86,m2,FBM_equals_material_factor,,,,,,,,high (cross-checked Turton/CAPCOST table value)
tray,valve,"Tray active/cross-sectional area, m^2 (cost is PER TRAY — multiply by tray count and the quantity factor Fq, see formulas.8_tray_quantity_factor)",3.3322,0.4838,0.3434,0.7,10.5,1.0,m2,FBM_equals_material_factor,,,,,,,,high (cross-checked Turton/CAPCOST table value)
tray,demister,"Tray active/cross-sectional area, m^2 (cost is PER TRAY — multiply by tray count and the quantity factor Fq, see formulas.8_tray_quantity_factor)",3.2353,0.4838,0.3434,0.7,10.5,1.0,m2,FBM_equals_material_factor,,,,,,,,high (cross-checked Turton/CAPCOST table value)
agitator,impeller,"Agitator/mixer shaft power, kW",3.8511,0.7009,-0.0003,5,150,0.6,kW,constant,,,,,,,,high (cross-checked Turton/CAPCOST table value)
agitator,propeller,"Agitator/mixer shaft power, kW",4.3207,0.0359,0.1346,5,500,0.5,kW,constant,,,,,,,,high (cross-checked Turton/CAPCOST table value)
agitator,turbine,"Agitator/mixer shaft power, kW",3.4092,0.4896,0.003,5,150,0.3,kW,constant,,,,,,,,high (cross-checked Turton/CAPCOST table value)
